議員氏名,読み方,会派,選挙区,任期満了
水野 孝一,みずの こういち,民主,愛知,令和13年7月28日,
"三原 じゅん子
[中根 順子]",みはら じゅんこ,自民,神奈川,令和10年7月25日,
宮崎 勝,みやざき まさる,公明,比例,令和10年7月25日,
宮沢 洋一,みやざわ よういち,自民,広島,令和10年7月25日,
宮出 千慧,みやで ちさと,参政,大阪,令和13年7月28日,
宮本 和宏,みやもと かずひろ,自民,滋賀,令和13年7月28日,
宮本 周司,みやもと しゅうじ,自民,石川,令和13年7月28日,
村田 享子,むらた きょうこ,立憲,比例,令和10年7月25日,
望月 良男,もちづき よしお,無所属,和歌山,令和13年7月28日,
"森 まさこ
[三好 雅子]",もり まさこ,自民,福島,令和13年7月28日,
"森 ゆうこ
[森 裕子]",もり ゆうこ,立憲,比例,令和13年7月28日,
森本 真治,もりもと しんじ,立憲,広島,令和13年7月28日,
山内 佳菜子,やまうち かなこ,立憲,宮崎,令和13年7月28日,
山崎 正昭,やまざき まさあき,自民,福井,令和10年7月25日,
山下 雄平,やました ゆうへい,自民,佐賀,令和13年7月28日,
山添 拓,やまぞえ たく,共産,東京,令和10年7月25日,
山田 太郎,やまだ たろう,自民,比例,令和13年7月28日,
山田 宏,やまだ ひろし,自民,比例,令和10年7月25日,
山田 吉彦,やまだ よしひこ,民主,比例,令和13年7月28日,
"山谷 えり子
[小川 惠里子]",やまたに えりこ,自民,比例,令和10年7月25日,
山中 泉,やまなか せん,参政,比例,令和13年7月28日,
山本 啓介,やまもと けいすけ,自民,長崎,令和10年7月25日,
山本 佐知子,やまもと さちこ,自民,三重,令和10年7月25日,
山本 順三,やまもと じゅんぞう,自民,愛媛,令和10年7月25日,
山本 太郎,やまもと たろう,れ新,東京,令和10年7月25日,
横沢 高徳,よこさわ たかのり,立憲,岩手,令和13年7月28日,
横山 信一,よこやま しんいち,公明,比例,令和10年7月25日,
吉井 章,よしい あきら,自民,京都,令和10年7月25日,＜正字＞
吉川 沙織,よしかわ さおり,立憲,比例,令和13年7月28日,
吉田 忠智,よしだ ただとも,立憲,大分,令和13年7月28日,
"ラサール石井
[石井 朗夫]",らさーるいしい,立憲,比例,令和13年7月28日,
"蓮舫
[齊藤 蓮舫]",れんほう,立憲,比例,令和13年7月28日,
若井 敦子,わかい あつこ,自民,岐阜,令和13年7月28日,
若林 洋平,わかばやし ようへい,自民,静岡,令和10年7月25日,
脇 雅昭,わき まさあき,自民,神奈川,令和13年7月28日,
渡辺 猛之,わたなべ たけゆき,自民,岐阜,令和10年7月25日,
